Asset,Asset Type,Primary Command,PRD Command,Parent,Paired Asset,Namespaces,Destination
"affiliate-referral-program-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","affiliate-referral-program-stinger","marketing","agents/affiliate-referral-program-worker-bee.md"
"product-feedback-roadmap-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","product-feedback-roadmap-stinger","web-apps, marketing","agents/product-feedback-roadmap-worker-bee.md"
"hr-payroll-stinger","skills","beekeeper","smoke-it","beekeeper-suit","hr-payroll-worker-bee","web-apps","skills/hr-payroll-stinger"
"legal-docs-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","legal-docs-stinger","web-apps","agents/legal-docs-worker-bee.md"
"code-forensics-stinger","skills","beekeeper","smoke-it","beekeeper-suit","code-forensics-worker-bee","honeybee-core","skills/code-forensics-stinger"
"lovable-audit-stinger","skills","beekeeper","smoke-it","beekeeper-suit","lovable-audit-worker-bee","web-apps, danger-zone","skills/lovable-audit-stinger"
"blogging-content-strategy-stinger","skills","beekeeper","smoke-it","beekeeper-suit","blogging-content-strategy-worker-bee","marketing","skills/blogging-content-strategy-stinger"
"social-media-marketing-organic-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","social-media-marketing-organic-stinger","marketing","agents/social-media-marketing-organic-worker-bee.md"
"social-media-marketing-organic-stinger","skills","beekeeper","smoke-it","beekeeper-suit","social-media-marketing-organic-worker-bee","marketing","skills/social-media-marketing-organic-stinger"
"newsletter-platform-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","newsletter-platform-stinger","marketing","agents/newsletter-platform-worker-bee.md"
"affiliate-referral-program-stinger","skills","beekeeper","smoke-it","beekeeper-suit","affiliate-referral-program-worker-bee","marketing","skills/affiliate-referral-program-stinger"
"code-forensics-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","code-forensics-stinger","honeybee-core","agents/code-forensics-worker-bee.md"
"discovery-research-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","discovery-research-stinger","marketing","agents/discovery-research-worker-bee.md"
"review-funnels-g2-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","review-funnels-g2-stinger","marketing","agents/review-funnels-g2-worker-bee.md"
"cold-outreach-stinger","skills","beekeeper","smoke-it","beekeeper-suit","cold-outreach-worker-bee","marketing","skills/cold-outreach-stinger"
"crm-integration-stinger","skills","beekeeper","smoke-it","beekeeper-suit","crm-integration-worker-bee","web-apps, marketing","skills/crm-integration-stinger"
"deeplake-dataset-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","deeplake-dataset-stinger","web-apps","agents/deeplake-dataset-worker-bee.md"
"deeplake-dataset-stinger","skills","beekeeper","smoke-it","beekeeper-suit","deeplake-dataset-worker-bee","web-apps","skills/deeplake-dataset-stinger"
"react-to-svelte-stinger","skills","beekeeper","smoke-it","beekeeper-suit","react-to-svelte-worker-bee","web-apps","skills/react-to-svelte-stinger"
"knowledge-base-help-center-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","knowledge-base-help-center-stinger","web-apps","agents/knowledge-base-help-center-worker-bee.md"
"hiring-ats-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","hiring-ats-stinger","web-apps","agents/hiring-ats-worker-bee.md"
"go-stinger","skills","beekeeper","smoke-it","beekeeper-suit","go-worker-bee","web-apps","skills/go-stinger"
"crm-integration-worker-bee.md","agents","beekeeper","smoke-it","beekeeper-suit","crm-integration-stinger","web-apps, marketing","agents/crm-integration-worker-bee.md"
"natural-photography-stinger","skills","beekeeper","smoke-it","beekeeper-suit","natural-photography-worker-bee","marketing","skills/natural-photography-stinger"
"bifrost-stinger","skills","beekeeper","smoke-it","beekeeper-suit","bifrost-worker-bee","web-apps","skills/bifrost-stinger"
"natural-photography-worker-bee.toml","agents","beekeeper","smoke-it","beekeeper-suit","natural-photography-stinger","marketing","agents/natural-photography-worker-bee.toml"
"discovery-research-stinger","skills","beekeeper","smoke-it","beekeeper-suit","discovery-research-worker-bee","marketing","skills/discovery-research-stinger"
